2024-02-12 10:35:46.098 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:35:56.461 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.8%
2024-02-12 10:36:06.824 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.8%
2024-02-12 10:36:17.186 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.7%
2024-02-12 10:36:27.549 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.6%
2024-02-12 10:36:37.911 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.7%
2024-02-12 10:36:48.274 | INFO     | __main__:<module>:17 - Temp=25.2*C Humidity=33.7%
2024-02-12 10:36:58.637 | INFO     | __main__:<module>:17 - Temp=25.2*C Humidity=33.7%
2024-02-12 10:37:08.999 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.7%
2024-02-12 10:37:19.362 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.7%
2024-02-12 10:37:29.725 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.6%
2024-02-12 10:37:40.081 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.6%
2024-02-12 10:37:50.443 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.6%
2024-02-12 10:38:00.806 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:38:11.169 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.5%
2024-02-12 10:38:21.531 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.5%
2024-02-12 10:38:31.894 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:38:42.257 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.6%
2024-02-12 10:38:52.619 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:39:02.982 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.5%
2024-02-12 10:39:13.344 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.6%
2024-02-12 10:39:23.707 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.5%
2024-02-12 10:39:34.070 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.5%
2024-02-12 10:39:44.432 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.5%
2024-02-12 10:39:54.795 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.5%
2024-02-12 10:40:05.158 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.4%
2024-02-12 10:40:15.520 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.3%
2024-02-12 10:40:25.883 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.3%
2024-02-12 10:40:36.246 | INFO     | __main__:<module>:17 - Temp=25.2*C Humidity=33.3%
